customer_id,converted
VIS-0002,No
VIS-0003,No
VIS-0004,No
VIS-0005,Yes
VIS-0006,No
VIS-0008,Yes
VIS-0009,Yes
VIS-0010,Yes
VIS-0011,No
VIS-0013,No
VIS-0014,Yes
VIS-0015,Yes
VIS-0016,No
VIS-0017,No
VIS-0018,Yes
VIS-0019,No
VIS-0020,No
VIS-0021,Yes
VIS-0022,No
VIS-0023,Yes
VIS-0024,No
VIS-0026,No
VIS-0027,No
VIS-0029,No
VIS-0030,Yes
VIS-0031,Yes
VIS-0032,Yes
VIS-0033,No
VIS-0034,No
VIS-0036,Yes
VIS-0037,No
VIS-0039,Yes
VIS-0040,No
VIS-0041,No
VIS-0042,No
VIS-0043,No
VIS-0044,Yes
VIS-0045,No
VIS-0046,Yes
VIS-0047,No
VIS-0048,No
VIS-0049,No
VIS-0050,Yes
VIS-0051,No
VIS-0052,No
VIS-0053,No
VIS-0054,No
VIS-0055,No
VIS-0056,No
VIS-0057,No
VIS-0059,Yes
VIS-0061,Yes
VIS-0062,Yes
VIS-0063,No
VIS-0064,Yes
VIS-0065,No
VIS-0066,No
VIS-0067,No
VIS-0068,Yes
VIS-0069,Yes
VIS-0070,No
VIS-0071,Yes
VIS-0073,Yes
VIS-0074,No
VIS-0075,Yes
VIS-0077,Yes
VIS-0078,Yes
VIS-0079,No
VIS-0082,No
VIS-0083,No
VIS-0084,Yes
VIS-0085,Yes
VIS-0086,Yes
VIS-0088,No
VIS-0090,Yes
VIS-0091,No
VIS-0092,No
VIS-0093,No
VIS-0094,No
VIS-0095,Yes
VIS-0096,Yes
VIS-0097,No
VIS-0098,No
VIS-0099,No
VIS-0100,No
VIS-0101,Yes
VIS-0102,No
VIS-0103,Yes
VIS-0104,No
VIS-0105,No
VIS-0106,Yes
VIS-0107,No
VIS-0108,No
VIS-0110,Yes
VIS-0111,Yes
VIS-0113,No
VIS-0114,Yes
VIS-0115,Yes
VIS-0116,No
VIS-0118,No
VIS-0119,No
VIS-0120,No
VIS-0121,No
VIS-0123,Yes
VIS-0124,No
VIS-0125,No
VIS-0126,Yes
VIS-0127,Yes
VIS-0128,Yes
VIS-0129,No
VIS-0130,Yes
VIS-0131,Yes
VIS-0133,Yes
VIS-0134,No
VIS-0135,No
VIS-0137,Yes
VIS-0138,No
VIS-0139,No
VIS-0140,No
VIS-0141,No
VIS-0142,No
VIS-0144,No
VIS-0145,Yes
VIS-0146,Yes
VIS-0147,No
VIS-0148,No
VIS-0150,No
VIS-0151,No
VIS-0152,No
VIS-0153,No
VIS-0154,No
VIS-0155,No
VIS-0156,Yes
VIS-0157,Yes
VIS-0158,No
VIS-0159,No
VIS-0160,No
VIS-0161,Yes
VIS-0163,No
VIS-0164,Yes
VIS-0165,No
VIS-0166,No
VIS-0168,No
VIS-0169,Yes
VIS-0170,No
VIS-0171,Yes
VIS-0172,No
VIS-0173,Yes
VIS-0174,No
VIS-0175,No
VIS-0176,Yes
VIS-0178,No
VIS-0179,No
VIS-0180,Yes
VIS-0181,No
VIS-0182,No
VIS-0183,Yes
VIS-0187,Yes
VIS-0189,Yes
VIS-0190,Yes
VIS-0191,Yes
VIS-0192,No
VIS-0193,Yes
VIS-0194,No
VIS-0195,Yes
VIS-0196,No
VIS-0197,Yes
VIS-0198,No
VIS-0199,No
VIS-0200,Yes
VIS-0201,No
VIS-0202,No
VIS-0203,Yes
VIS-0204,Yes
VIS-0205,Yes
VIS-0206,No
VIS-0207,No
VIS-0210,Yes
VIS-0211,No
VIS-0212,No
VIS-0213,No
VIS-0214,No
VIS-0217,No
VIS-0218,Yes
VIS-0219,No
VIS-0220,No
VIS-0221,No
VIS-0222,No
VIS-0223,No
VIS-0224,No
VIS-0225,No
VIS-0226,No
VIS-0227,No
VIS-0229,Yes
VIS-0230,No
VIS-0231,Yes
VIS-0233,Yes
VIS-0235,Yes
VIS-0236,Yes
VIS-0237,No
VIS-0238,Yes
VIS-0239,No
VIS-0240,No
VIS-0241,No
VIS-0242,No
VIS-0243,Yes
VIS-0244,No
VIS-0245,Yes
VIS-0247,No
VIS-0251,Yes
VIS-0252,Yes
VIS-0254,Yes
VIS-0255,No
VIS-0257,Yes
VIS-0258,No
VIS-0259,No
VIS-0260,No
VIS-0261,Yes
VIS-0262,No
VIS-0264,No
VIS-0265,No
VIS-0266,No
VIS-0268,No
VIS-0269,No
VIS-0270,Yes
VIS-0271,Yes
VIS-0272,Yes
VIS-0273,No
VIS-0274,No
VIS-0275,No
VIS-0276,Yes
VIS-0277,No
VIS-0278,Yes
VIS-0279,No
VIS-0280,Yes
VIS-0281,No
VIS-0282,No
VIS-0283,No
VIS-0284,No
VIS-0285,No
VIS-0286,Yes
VIS-0287,No
VIS-0288,Yes
VIS-0289,Yes
VIS-0290,No
VIS-0291,No
VIS-0292,Yes
VIS-0293,No
VIS-0294,No
VIS-0295,Yes
VIS-0296,Yes
VIS-0297,Yes
VIS-0298,No
VIS-0299,Yes
VIS-0301,No
VIS-0302,No
VIS-0303,No
VIS-0304,No
VIS-0305,No
VIS-0306,No
VIS-0307,No
VIS-0308,Yes
VIS-0309,Yes
VIS-0310,No
VIS-0311,No
VIS-0312,Yes
VIS-0316,Yes
VIS-0317,Yes
VIS-0318,No
VIS-0319,No
VIS-0320,No
VIS-0322,Yes
VIS-0323,No
VIS-0324,No
VIS-0325,No
VIS-0326,Yes
VIS-0329,No
VIS-0330,No
VIS-0331,No
VIS-0332,No
VIS-0333,No
VIS-0334,Yes
VIS-0335,No
VIS-0336,Yes
VIS-0337,No
VIS-0338,No
VIS-0339,No
VIS-0340,Yes
VIS-0341,No
