customer_id,account_type,region,referral_source,days_since_last_visit
VIS-0001,Guest,LATAM,Email,160
VIS-0002,Registered,EU,Email,125
VIS-0003,Premium,EU,,162
VIS-0004,Registered,APAC,Direct,112
VIS-0005,Premium,APAC,Paid Ads,142
VIS-0006,Premium,LATAM,Paid Ads,127
VIS-0007,Guest,NA,Social,97
VIS-0008,Guest,LATAM,Organic Search,32
VIS-0009,Guest,EU,Paid Ads,26
VIS-0010,Premium,EU,Paid Ads,102
VIS-0011,Premium,NA,Direct,80
VIS-0012,Registered,EU,Social,110
VIS-0013,Guest,APAC,Email,3
VIS-0014,Premium,APAC,Paid Ads,17
VIS-0015,Guest,LATAM,Social,13
VIS-0016,Registered,EU,Organic Search,126
VIS-0017,Premium,LATAM,Social,29
VIS-0018,Premium,EU,Email,46
VIS-0019,Registered,EU,Paid Ads,78
VIS-0020,Guest,NA,Direct,177
VIS-0021,Premium,EU,Paid Ads,61
VIS-0022,Registered,EU,Email,10
VIS-0023,Registered,NA,Organic Search,177
VIS-0024,Registered,APAC,Email,160
VIS-0025,Guest,NA,Social,84
VIS-0026,Premium,LATAM,Paid Ads,54
VIS-0027,Registered,LATAM,Social,116
VIS-0028,Registered,NA,,36
VIS-0029,Premium,NA,Direct,158
VIS-0030,Registered,NA,Organic Search,147
VIS-0031,Guest,APAC,Organic Search,105
VIS-0032,Premium,APAC,Social,120
VIS-0033,Guest,APAC,Email,87
VIS-0034,Premium,APAC,Paid Ads,127
VIS-0035,Premium,EU,Paid Ads,125
VIS-0036,Guest,EU,Direct,81
VIS-0037,Premium,NA,Organic Search,147
VIS-0038,Guest,APAC,Email,51
VIS-0039,Premium,APAC,Organic Search,131
VIS-0040,Premium,NA,Direct,161
VIS-0041,Premium,EU,Email,125
VIS-0042,Guest,APAC,Social,59
VIS-0043,Registered,APAC,Social,82
VIS-0044,Premium,EU,Direct,172
VIS-0045,Registered,APAC,Social,74
VIS-0046,Guest,APAC,Email,8
VIS-0047,Guest,NA,Paid Ads,21
VIS-0048,Registered,LATAM,Social,68
VIS-0049,Registered,LATAM,Direct,52
VIS-0050,Guest,NA,Organic Search,70
VIS-0051,Registered,NA,Email,121
VIS-0052,Registered,NA,Organic Search,40
VIS-0053,Premium,APAC,Direct,24
VIS-0054,Premium,APAC,Paid Ads,56
VIS-0055,Registered,EU,Paid Ads,158
VIS-0056,Premium,EU,Social,155
VIS-0057,Guest,LATAM,Organic Search,21
VIS-0058,Premium,APAC,Direct,115
VIS-0059,Premium,NA,,18
VIS-0060,Guest,LATAM,Email,21
VIS-0061,Premium,EU,Email,18
VIS-0062,Premium,EU,Paid Ads,158
