record_id,customer_id,touch_date,channel,response_time_hours
MAR-000914,VIS-0226,2023-10-25,Push Notification,5.873894221153528
MAR-000145,VIS-0030,2024-05-17,Retarget Ad,20.689756984077313
MAR-000124,VIS-0026,2024-05-15,SMS,12.091807206931431
MAR-000492,VIS-0119,2024-03-11,SMS,0.1
MAR-001191,VIS-0289,2024-06-15,SMS,18.094840971471605
MAR-001532,VIS-0365,2023-11-19,Push Notification,12.05662927784697
MAR-000404,VIS-0093,2024-06-22,Retarget Ad,0.1
MAR-000300,VIS-0067,2024-03-27,Push Notification,6.853325665759607
MAR-001796,VIS-0428,2023-06-28,Retarget Ad,5.674252817689968
MAR-000547,VIS-0137,2024-01-29,Email,13.95006461560807
MAR-001448,VIS-0344,2023-08-13,Push Notification,20.647719611672052
MAR-001553,VIS-0370,2023-06-19,Email,0.1
MAR-000941,VIS-0233,2023-12-09,Retarget Ad,4.83611504000881
MAR-000848,VIS-0209,2024-02-05,Push Notification,12.199925246565828
MAR-000978,VIS-0243,2024-01-12,Retarget Ad,15.257923984264478
MAR-001108,VIS-0272,2023-11-11,Push Notification,17.85613809553778
MAR-000055,VIS-0013,2024-04-18,SMS,0.29187169805325475
MAR-000106,VIS-0023,2023-09-20,Push Notification,6.703340094855338
MAR-000938,VIS-0231,2024-02-07,Push Notification,15.994025278471376
MAR-000294,VIS-0065,2023-07-03,SMS,7.3050723543255875
MAR-001741,VIS-0413,2023-07-09,SMS,15.436851323115134
MAR-000146,VIS-0030,2023-10-29,Retarget Ad,20.413397514992287
MAR-001287,VIS-0312,2024-01-03,SMS,0.1
MAR-000335,VIS-0075,2024-03-17,Retarget Ad,3.564918851864797
MAR-001074,VIS-0265,2024-06-21,SMS,10.691120240499973
MAR-000085,VIS-0018,2023-08-01,Retarget Ad,3.7378677964320524
MAR-000426,VIS-0098,2023-10-23,Email,3.9034145551724624
MAR-001620,VIS-0386,2023-11-14,SMS,14.003648859469298
MAR-001237,VIS-0299,2024-04-21,Email,1.5293762916398699
MAR-001060,VIS-0263,2023-10-13,Retarget Ad,1.2797139437495302
MAR-000430,VIS-0099,2024-06-03,SMS,17.97970448240761
MAR-000720,VIS-0180,2024-01-26,Push Notification,6.101873922610441
MAR-001631,VIS-0388,2023-10-21,Email,9.733772365707148
MAR-001362,VIS-0325,2023-09-28,Push Notification,19.95685761055205
