record_id,customer_id,session_date,pages_viewed,bounce_flag
SES-003580,VIS-0384,2024-01-17,10.0,False
SES-003328,VIS-0357,2024-01-13,1.0,False
SES-001481,VIS-0162,2023-12-03,10.0,False
SES-003216,VIS-0345,2024-06-20,17.0,True
SES-003263,VIS-0350,2023-10-28,7.0,False
SES-002726,VIS-0294,2024-06-03,8.0,True
SES-000751,VIS-0083,2024-05-16,10.0,False
SES-002164,VIS-0236,2024-06-09,4.0,False
SES-000258,VIS-0030,2023-12-15,14.0,True
SES-000703,VIS-0079,2023-07-22,1.0,True
SES-001154,VIS-0125,2024-03-17,3.0,False
SES-001158,VIS-0126,2023-10-02,14.0,False
SES-002135,VIS-0233,2023-10-02,15.0,False
SES-003167,VIS-0341,2023-06-28,9.0,True
SES-000041,VIS-0004,2024-01-05,7.0,False
SES-002256,VIS-0247,2024-03-04,3.0,False
SES-001228,VIS-0134,2024-02-14,19.0,False
SES-000502,VIS-0057,2023-09-15,4.0,False
SES-000988,VIS-0109,2024-03-05,5.0,False
SES-000762,VIS-0084,2024-02-11,18.0,False
SES-000402,VIS-0046,2023-08-13,21.0,True
SES-000672,VIS-0075,2024-03-15,12.0,False
SES-001911,VIS-0208,2023-07-09,14.0,True
SES-003947,VIS-0424,2024-04-02,21.13854026369009,True
SES-001142,VIS-0124,2023-12-11,1.0,True
SES-000014,VIS-0002,2023-12-25,4.0,True
SES-001685,VIS-0184,2023-10-27,10.0,False
SES-000857,VIS-0094,2023-11-03,2.0,False
SES-002689,VIS-0291,2023-11-29,10.0,True
SES-001697,VIS-0185,2023-11-28,1.0,False
SES-000061,VIS-0006,2024-05-12,9.0,True
SES-002672,VIS-0289,2023-07-18,19.0,True
SES-000328,VIS-0038,2023-09-02,3.0,False
SES-000615,VIS-0069,2023-07-16,8.0,False
SES-001347,VIS-0146,2023-12-14,10.0,False
SES-001400,VIS-0153,2023-11-15,9.0,False
SES-000142,VIS-0016,2024-01-15,9.0,False
SES-000881,VIS-0098,2023-12-04,7.0,False
SES-003791,VIS-0407,2023-08-16,16.0,False
SES-002313,VIS-0254,2023-08-18,10.0,False
SES-000313,VIS-0036,2023-10-04,8.0,True
SES-002709,VIS-0293,2024-04-29,1.0,False
SES-001433,VIS-0156,2023-09-24,8.0,False
SES-000817,VIS-0090,2024-03-17,9.0,True
SES-002747,VIS-0296,2024-01-15,8.0,False
SES-003961,VIS-0425,2024-03-29,9.0,True
SES-002791,VIS-0302,2023-09-21,5.0,False
SES-002638,VIS-0286,2024-02-29,11.0,True
SES-001958,VIS-0213,2024-01-03,9.0,False
SES-000557,VIS-0063,2024-03-02,7.0,False
SES-000346,VIS-0040,2024-02-12,12.0,False
SES-002239,VIS-0245,2023-08-11,4.0,False
SES-002789,VIS-0301,2024-03-30,1.0,False
SES-000904,VIS-0100,2023-09-18,4.0,False
SES-000095,VIS-0010,2023-10-21,11.0,False
SES-000541,VIS-0061,2023-09-18,11.0,False
SES-000446,VIS-0051,2023-09-22,5.0,False
SES-002905,VIS-0313,2023-06-19,1.0,True
SES-000946,VIS-0105,2023-12-20,1.0,True
SES-002553,VIS-0277,2023-09-01,15.0,False
SES-002994,VIS-0322,2024-04-16,11.0,True
SES-002235,VIS-0245,2023-09-09,5.0,False
SES-000148,VIS-0018,2024-05-23,11.0,False
SES-002778,VIS-0300,2024-05-25,14.0,True
SES-004013,VIS-0432,2023-08-05,1.0,False
SES-002088,VIS-0228,2024-05-26,17.0,False
SES-001956,VIS-0213,2023-11-19,8.0,False
SES-001968,VIS-0214,2023-06-13,6.0,True
SES-001330,VIS-0144,2024-05-03,2.0,False
SES-000593,VIS-0067,2024-06-04,7.0,False
SES-001234,VIS-0134,2023-06-21,20.0,False
SES-003872,VIS-0416,2023-06-05,16.0,False
SES-001063,VIS-0116,2024-05-07,9.0,True
SES-002495,VIS-0272,2023-11-29,9.0,False
SES-000576,VIS-0064,2024-04-19,8.0,True
SES-000933,VIS-0103,2023-10-28,-8.935709467115604,False
SES-000325,VIS-0037,2024-03-18,3.0,False
SES-002126,VIS-0232,2024-01-14,5.0,False
SES-002411,VIS-0265,2024-05-07,3.0,True
SES-001597,VIS-0174,2024-03-20,8.0,False
SES-003793,VIS-0407,2024-04-09,18.0,False
SES-000045,VIS-0005,2023-06-11,19.0,True
SES-003395,VIS-0364,2023-06-13,11.0,True
SES-001332,VIS-0144,2023-10-07,10.0,False
SES-001914,VIS-0208,2024-04-30,11.0,False
SES-002851,VIS-0307,2023-12-23,8.0,False
SES-002583,VIS-0280,2023-09-02,12.0,False
SES-002424,VIS-0266,2023-10-17,7.0,True
SES-001427,VIS-0156,2023-06-04,12.0,False
SES-000660,VIS-0074,2024-02-23,5.0,False
SES-003464,VIS-0372,2023-07-25,2.0,False
SES-002190,VIS-0239,2023-12-28,5.0,False
SES-002192,VIS-0240,2023-12-01,1.0,True
SES-003732,VIS-0401,2023-08-07,16.0,False
SES-002187,VIS-0239,2023-08-25,6.0,False
SES-001905,VIS-0207,2024-01-24,6.0,False
SES-003161,VIS-0340,2023-07-04,10.0,True
SES-003052,VIS-0329,2023-08-11,1.0,False
SES-002348,VIS-0257,2024-06-17,4.0,True
SES-000007,VIS-0001,2023-09-13,13.0,False
SES-003930,VIS-0423,2023-07-11,13.0,False
SES-003515,VIS-0378,2023-09-17,1.0,False
SES-002852,VIS-0307,2024-04-02,7.0,False
SES-001077,VIS-0119,2023-09-01,5.0,False
SES-003493,VIS-0376,2024-06-06,9.0,False
SES-000037,VIS-0004,2024-01-16,8.0,False
SES-001202,VIS-0130,2024-05-07,15.0,False
SES-001321,VIS-0143,2023-06-17,4.0,True
SES-000344,VIS-0040,2024-04-24,13.0,False
